"SKU","Товар","Единица измерения","Цена"
"sku_79ecc088","Вилка В 16-002 каучук, КРАСНЫЙ (100), СВЕТ","RUB","65"
"sku_ad10e913","Вилка В 16-002 каучук, СИНИЙ (100), СВЕТ","RUB","69.38"
"sku_ead2f322","Вилка штепсельная с з/к  с кольцом каучук В16-385 (56) (1/14), BYLECTRICA","RUB","73.7"
"sku_be157912","Роз. 1-местн. переносная (каучук) / Р16-386 (56) (1/14),","RUB","54"
"sku_08e7f8c3","Роз. 1-местн. с заз.конт.переносная (каучкук) / Р16-360 (56) (1/14),","RUB","70"
"sku_681d60c1","Розетка переносная РА 16-005 каучук, красный (100шт), СВЕТ","RUB","85"
"sku_dbfb9cb7","Розетка переносная РА 16-005 каучук, переносная разборная (100шт), СВЕТ","RUB","83.07"
"sku_fcea4408","Розетка переносная РА 16-005 каучук, синий (100шт), СВЕТ","RUB","85"
"sku_0bde4ffe","Вилка Navigator 61 714 NCA-PL07-6A-X-BL прямая б/з черная (1/50), Navigator Group","RUB","24.98"
"sku_f9e1caf7","Вилка универс. с кольцом 10 А цветная (1/50),","RUB","22.95"
"sku_dd3b7785","Вилка штепсельная В 6-001 черная (300) (1/20), БелТИЗ","RUB","16.6"
"sku_749eb053","Вилка штепсельная В6-001 (300)  , БелТИЗ","RUB","16.6"
"sku_b919f0db","Адаптер переходник английский универсал-стандарт 16А [20/600] (1/20),","RUB","38.58"
"sku_42922e77","Переходник розетки  ""ВЕЛЛКОНТ"" 6А (стакан ПУ10/16-001)  [1/100) 201-165 ,","RUB","20.66"
"sku_bc454fd1","Разветвитель РВ16-258 (3 гнезда ""ромашка"") (32) (1/8), BYLECTRICA","RUB","263.05"
"sku_3485ed14","Разветвитель РВ16-258 (3 гнезда ""ромашка"") ЧЕРНЫЙ (1/8), BYLECTRICA","RUB","266"
"sku_7ef85ac5","Разветвитель РВ16-373 (2 гнезда с/з прямой) (40) (1/12), BYLECTRICA","RUB","175"
"sku_ebf0530f","Разветвитель РВ16-374 (2 гнезда прямой) (48) (1/12), BYLECTRICA","RUB","128"
"sku_9cdffdd2","Разветвитель РВ16-374 (2 гнезда прямой) ЧЕРНЫЙ (1/12), BYLECTRICA","RUB","134"
"sku_3aac1508","Разветвитель РВ16-376 (3 гнезда прямой) (36) (1/9), BYLECTRICA","RUB","156.76"
"sku_ff18e44c","Разветвитель РВ16-376 (3 гнезда прямой) ЧЕРНЫЙ (1/9), BYLECTRICA","RUB","159"
"sku_e0670621","Разветвитель РВ16-378 (3 гнезда ""крест"") (40) (1/10), BYLECTRICA","RUB","143.33"
"sku_414b5863","Датчик Navigator 61 580 NS-IRM07-WH Датчик движения ИК, Navigator Group","RUB","746.8"
"sku_45856ea6","Датчик Navigator 71 961 NS-PC03-B Фотореле, Navigator Group","RUB","235.09"
"sku_6f0c4981","Датчик Navigator 71 962 NS-IRM01-WH Датчик движения ИК, Navigator Group","RUB","575.7"
"sku_bc94b67c","Датчик Navigator 71 965 NS-IRM04-WH Датчик движения ИК, Navigator Group","RUB","562.93"
"sku_7c3590db","Датчик Navigator 71 967 NS-IRM05-WH Датчик движения ИК, Navigator Group","RUB","549.58"
"sku_94eaddf4","Датчик Navigator 80 448 NS-IRM11-WH Датчик движения ИК, Navigator Group","RUB","557.24"
"sku_ef30b8e1","Датчик Navigator 80 450 NS-IRM13-WH Датчик движения ИК, Navigator Group","RUB","528.07"
"sku_946c6725","Датчик Navigator 80 456 NS-IRM05-BL Датчик движения ИК, Navigator Group","RUB","578.5"
"sku_125d8060","Датчик движ. Navigator 71 963 IRM02 белый, Navigator Group","RUB","543.08"
"sku_1ad953be","Датчик движ. Navigator 71 966 IRM04 черный, Navigator Group","RUB","562.93"
"sku_2881bfe7","Таймер Navigator 61 555 NTR-E-S01-WH розет. электрон. (1/12), Navigator Group","RUB","910.8"
"sku_7aaaa853","Звонок беспроводной Intelligent батарейка/батарейка (1/60),","RUB","225"
"sku_1411056f","Звонок беспроводной Intelligent батарейка/сеть (1/60),","RUB","250"
"sku_fd0d7b6f","Звонок дверной ЗОДИАК ЗД-05 , соловей , 220В, без кнопки [100],","RUB","145"
"sku_43f65e93","Звонок Дин Дон зеленый (1/100),","RUB","152"
"sku_2635cc11","Звонок Канарейка (1/100),","RUB","119"
"sku_7ba0cd7c","Звонок электрический  Navigator 61 267 NDB-A-DC01-1V1-WH, Navigator Group","RUB","355.76"
"sku_b849aa91","Кнопка звонка (выключатель для бытовых электрических звонков) В31-01 черн. [4!/252] (1/4),","RUB","39.13"
"sku_6687f433","Кабель-канал 100х60 Белый (6шт) IDEAL,","RUB","353.41"
"sku_5fdb7307","Кабель-канал 12х10 Белый (60шт) IDEAL,","RUB","27.77"
"sku_2696c7b5","Кабель-канал 15х10 Белый (60шт) IDEAL,","RUB","30.86"
"sku_5d00c356","Кабель-канал 20х10 Белый (60шт) IDEAL,","RUB","37.99"
"sku_d17e754b","Кабель-канал 24х15 Белый (40шт) IDEAL,","RUB","54.28"
"sku_b35d15bb","Кабель-канал 25х24 Белый (20шт) IDEAL,","RUB","73.18"
"sku_9759c95b","Кабель-канал 40х15 Белый (40шт) IDEAL,","RUB","79.1"
"sku_e25b4690","Кабель-канал 40х24 Белый (20шт) IDEAL,","RUB","107.8"
"sku_d4674342","Кабель-канал 40х40 Белый (9шт) IDEAL,","RUB","138.17"
"sku_dbc0b91e","Кабель-канал 60х24 Белый (20шт) IDEAL,","RUB","144"
"sku_c583a1ad","Кабель-канал 60х60 Белый (6шт) IDEAL,","RUB","256.12"
"sku_c51f109c","Кабель-канал КДК 25х25 2 м (35шт.уп), BYLECTRICA","RUB","83.48"
"sku_3c5cbd33","Металлорукав 12 (100м),","RUB","42.1"
"sku_81798021","Гофро-труба ПВХ d 16 с зондом (100м) серая IDEAL,","RUB","10.22"
"sku_d15e147c","Гофро-труба ПВХ d 16 с зондом (100м) серая Электро,","RUB","8.17"
"sku_797d2a4e","Гофро-труба ПВХ d 20 с зондом (100м) серая Электро,","RUB","10.55"
"sku_24727696","Гофро-труба ПВХ d 25 с зондом (50м) серая Электро, ЭЛЕКТРО","RUB","17"
"sku_56631ff7","Гофро-труба ПВХ d 32 с зондом (50м) серая Электро,","RUB","27.38"
"sku_d7f1d0f9","Гофро-труба ПВХ d 40 с зондом (15м) серая Электро,","RUB","39"
"sku_bb129d97","Гофро-труба ПВХ d 50 с зондом (15м) серая Электро, ЭЛЕКТРО","RUB","48.3"
"sku_ee622077","Гофро-труба ПНД 16 (100 м) черная Электро,","RUB","7.12"
"sku_1cf15b7b","Гофро-труба ПНД 20 (100 м) черная Электро,","RUB","8.7"
"sku_7037b2aa","Гофро-труба ПНД 25 (50 м) черная Электро,","RUB","13"
"sku_73847df3","Гофро-труба ПНД 32 (25 м) черная Электро,","RUB","20"
"sku_c9f12309","Гофро-труба ПНД 50 (15 м) черная Электро,","RUB","48"
"sku_9f4ae421","Труба гибкая ПНД 32мм с протяжкой черная (25м) IEK, IEK","RUB","40.35"
"sku_d61c72b3","Труба гибкая ПНД 50мм с протяжкой черная (15м) IEK, IEK","RUB","89.45"
"sku_dc8a0c6d","Труба гофрированная ПВХ 16мм с протяжкой серая (100м) IEK, IEK","RUB","12"
"sku_fe563b91","Труба гофрированная ПВХ 20мм с протяжкой серая (100м) IEK, IEK","RUB","15.1"
"sku_757c916c","Труба гофрированная ПВХ 25мм с протяжкой серая (50м) IEK, IEK","RUB","24.23"
"sku_d79a3cb5","Труба гофрированная ПВХ 32мм с протяжкой серая (25м) IEK, IEK","RUB","39.56"
"sku_0a614831","Труба гофрированная ПВХ 40мм с протяжкой серая (15м) IEK, IEK","RUB","64.53"
"sku_ca7c70a2","Труба гофрированная ПВХ 50мм с протяжкой серая (15м) IEK, IEK","RUB","85.9"
"sku_ad5a19e7","Труба гофрированная ПНД 16 мм с протяжкой черная (100м) IEK, IEK","RUB","14.88"
"sku_af62645f","Труба гофрированная ПНД 20 мм с протяжкой черная (100 м) IEK, IEK","RUB","19.55"
"sku_c980388c","Труба гофрированная ПНД 25 мм с протяжкой черная (50м) IEK, IEK","RUB","25.3"
"sku_f6685239","Труба гофрированная ПНД 40 мм с протяжкой черная (15м) IEK, IEK","RUB","63.11"
"sku_32190aea","Зажим ответвительный ЗОИ 16-70/1.5-10 IEK,","RUB","98"
"sku_8b2ed15f","Крюк столбовой,","RUB","225"
"sku_caa0a256","Изолента  3М 20м  ПХВ  белая  ОРИГИНАЛ (1/10) (250)    , 3M","RUB","100"
"sku_bbf5b0ad","Изолента  3М 20м  ПХВ  желтая  ОРИГИНАЛ (1/10) (250), 3M","RUB","100"
"sku_8580fe17","Изолента  3М 20м  ПХВ синяя ОРИГИНАЛ (10/250),","RUB","100"
"sku_49ace582","Изолента  3М 20м  ПХВ черная ОРИГИНАЛ (10/250), 3M","RUB","100"
"sku_69955de4","Изолента  Navigator 14 078 NIT-SFR19-5-BL самослипающаяся черная (1/80), Navigator Group","RUB","211.87"
"sku_fb6498d8","Изолента Navigator 14 074 NAT-DS9-5-TR акриловая двусторонняя прозрачная (1/20), Navigator Group","RUB","150.37"
"sku_32508ffe","Изолента Navigator 14 075 NAT-DS12-5-TR акриловая двусторонняя прозрачная (1/20), Navigator Group","RUB","182.1"
"sku_035e3d10","Изолента Navigator 71 102 NIT-B15-20/WH белая (1/10) (200), Navigator Group","RUB","44.94"
"sku_97182d85","Изолента Navigator 71 103 NIT-B15-20/BL черная (1/10) (200), Navigator Group","RUB","44.94"
"sku_33b526ed","Изолента Navigator 71 104 NIT-B15-20/R красная (1/10) (200),","RUB","44.94"
"sku_ae5eb343","Изолента Navigator 71 105 NIT-B15-20/Y жёлтая (1/10) (200),","RUB","44.94"
"sku_b7433488","Изолента Navigator 71 106 NIT-B15-20/G зелёная (1/10) (200),","RUB","44.94"
"sku_f310a38d","Изолента Navigator 71 107 NIT-B15-20/B синяя (1/10) (200), Navigator Group","RUB","44.94"
"sku_204ef231","Изолента Navigator 71 108 NIT-B15-20/YG жёлто-зелёная (1/10) (200), Navigator Group","RUB","52.44"
"sku_3549f4e9","Изолента Navigator 71 109 NIT-А19-20/WH белая (1/10) (200), Navigator Group","RUB","75.82"
"sku_d96a110d","Изолента Navigator 71 110 NIT-А19-20/BL черная (1/10) (200), Navigator Group","RUB","75.82"
